Test,Status,Points,Max,Message
StressTest,PASSED,3,3,Success!
Splitting,PASSED,3,3,Success!
Realloc_larger_must_move,PASSED,3,3,Success!
Splinter,PASSED,3,3,Success!
Realloc_size_zero_expect_NULL,PASSED,3,3,Success!
Realloc_smaller_size_ptr_should_not_move,PASSED,3,3,Success!
Realloc_larger_fits_contiguous_absorb_splinter,PASSED,3,3,Success!
Realloc_larger_fits_contiguous,PASSED,3,3,Success!
Realloc_Payload_Integrity_And_Moved,FAILED,0,3,sfunit.c:773: String was not copied during realloc
Realloc_Both_Extend_In_Place_And_Move,PASSED,3,3,Success!
ManagingMemory_consecutive_list,PASSED,3,3,Success!
Malloc_two_pages,PASSED,3,3,Success!
Malloc_three_pages,PASSED,3,3,Success!
Malloc_one_page,PASSED,3,3,Success!
Malloc_four_pages_across_multiple_mallocs_then_frees_all,PASSED,3,3,Success!
Malloc_four_pages,PASSED,3,3,Success!
Malloc_an_Integer,PASSED,2,2,Success!
Malloc_a_Short,PASSED,2,2,Success!
Malloc_a_LongDouble,PASSED,2,2,Success!
Malloc_a_Double,PASSED,2,2,Success!
Malloc_a_Char,PASSED,2,2,Success!
Malloc_a_7737,PASSED,3,3,Success!
Malloc_Whole_First_Page_Multiple_Times,PASSED,3,3,Success!
Info_count_external,PASSED,1,1,Success!
Info_count_frees,PASSED,1,1,Success!
Info_count_internal,PASSED,1,1,Success!
Malloc_773_Bytes,PASSED,2,2,Success!
Info_count_coalesces,PASSED,1,1,Success!
Info_count_allocations,PASSED,1,1,Success!
Info_Malloc_And_Free,PASSED,3,3,Success!
Free_block_check_header_footer_values,PASSED,2,2,Success!
Free_Coalesce_Forward_2_Times,PASSED,3,3,Success!
External_fragmentation_ask_sf_sbrk_for_more_space,PASSED,3,3,Success!
Coalesce_no_coalescing,PASSED,2,2,Success!
Coalesce_free_block_before,PASSED,3,3,Success!
Check_next_prev_pointers_of_free_block_at_head_of_list_3FreeBlocks,PASSED,2,2,Success!
Check_next_prev_pointers_of_free_block_at_head_of_list_BaseCase,PASSED,2,2,Success!
Coalesce_free_before_and_after,PASSED,3,3,Success!
Coalesce_free_block_after,PASSED,3,3,Success!
Required 3 Unit Tests,counted,3,3,Tests
